Acton,Acton,,,
Agua Dulce,Canyon Country,,,
Altadena,Altadena,,,
Anaverde,Acton,,,
Angeles National Forest,Acton,,,
Arcadia,Duarte,,,
Athens-Westmont,Athens-Westmont,,,
Athens Village,Willowbrook,,,
Avocado Heights,Basset,,,
Azusa,Azusa,,,
Bassett,Basset,,,
Bouquet Canyon,Canyon Country,,,
Bradbury,Monrovia,,,
Canyon Country,Canyon Country,,,
Castaic,Castaic,,,
Cerritos,Cerritos,,,
Charter Oak,Covina,,,
Claremont,Claremont,,,
Covina,Covina,,,
Covina (Charter Oak) ,Covina,,,
Del Aire,El Segundo,,,
Del Rey,Playa Vista,,,
Del Sur,Canyon Country,,,
Desert View Highlands,Acton,,,
Duarte,Duarte,,,
East Covina,San Dimas,,,
East La Mirada,La Mirada,,,
East Lancaster,Lancaster,,,
East Los Angeles,East Los Angeles,,,
East Pasadena,Pasadena,,,
East Rancho Dominguez,Compton,,,
East Whittier,South Whittier,,,
El Camino Village,Lawndale,,,
El Monte,El Monte,,,
Elizabeth Lake,Canyon Country,,,
Florence-Firestone,Florence-Firestone,,,
Franklin Canyon,Brentwood,,,
Glendora,Glendora,,,
Hacienda Heights,Hacienda Heights,,,
Harbor Gateway,Harbor Gateway,,,
Hawthorne,Hawthorne,,,
Hi Vista,Lake Los Angeles,,,
Kagel/Lopez Canyons,Acton,,,
La Crescenta-Montrose,La Canada Flintridge,,,
La Habra Heights,Whittier,,,
La Rambla,San Pedro,,,
La Verne,La Verne,,,
Ladera Heights,Culver City,,,
Lake Hughes,Canyon Country,,,
Lake Los Angeles,Lake Los Angeles,,,
Lake Manor,West Hills,,,
Lakewood,Lakewood,,,
Lennox,Hawthorne,,,
Leona Valley,Canyon Country,,,
Littlerock,Acton,,,
Littlerock/Juniper Hills,Acton,,,
Littlerock/Pearblossom,Lake Los Angeles,,,
Llano,Acton,,,
Marina del Rey,Playa Vista,,,
Miracle Mile,Park La Brea,,,
Monrovia,Duarte,,,
Newhall,Stevenson Ranch,,,
North Lancaster,Lake Los Angeles,,,
North Whittier,Basset,,,
Northeast San Gabriel,Pasadena,,,
Palmdale,Palmdale,,,
Palos Verdes Peninsula,Lomita,,,
Pearblossom/Llano,Acton,,,
Pellissier Village,South El Monte,,,
Placerita Canyon,Acton,,,
Pomona,Pomona,,,
Quartz Hill,Lancaster,,,
Rancho Dominguez,Carson,,,
Roosevelt,Lake Los Angeles,,,
Rosewood,Compton,,,
Rosewood/East Gardena,Willowbrook,,,
Rosewood/West Rancho Dominguez,Willowbrook,,,
Rowland Heights,Rowland Heights,,,
San Clemente Island,Avalon,,,
San Francisquito Canyon/Bouquet Canyon,Canyon Country,,,)
San Jose Hills,Valinda,,,
San Pasqual,Pasadena,,,
Sand Canyon,Acton,,,
Santa Catalina Island,Avalon,,,
Santa Monica Mountains,Santa Monica Mountains,,,
Saugus,Canyon Country,,,
Saugus/Canyon Country,Canyon Country,,,
South Antelope Valley,Acton,,,
South El Monte,South El Monte,,,
South San Gabriel,South El Monte,,,
South Whittier,South Whittier,,,
Southeast Antelope Valley,Acton,,,
Stevenson Ranch,Stevenson Ranch,,,
Sun Village,Lake Los Angeles,,,
Sunrise Village,Whittier,,,
Twin Lakes/Oat Mountain,Stevenson Ranch,,,
Val Verde,Stevenson Ranch,,,
Valencia,Canyon Country,,,
Valinda,Valinda,,,
View Park/Windsor Hills,Culver City,,,
Walnut Park,Florence-Firestone,,,
West Antelope Valley,Canyon Country,,,
West Carson,Carson,,,
West Chatsworth,West Hills,,,
West LA,West Los Angeles,,,
West Puente Valley,Basset,,,
West Rancho Dominguez,Willowbrook,,,
West Whittier/Los Nietos,West Whittier/Los Nietos,,,
Westfield/Academy Hills,Lomita,,,
Westhills,West Hills,,,
White Fence Farms,Acton,,,
Whittier,Whittier,,,
Whittier Narrows,South El Monte,,,
Willowbrook,Willowbrook,,,
Wiseburn,El Segundo,,,
Bandini Islands,Maywood,,,
Lynwood,Bellflower,,,
South Edwards,Lake Los Angeles,,,
Universal City,Studio City,,,
Walnut,Walnut,,,
Padua Hills,Claremont,,,